"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"Chippewa County","MI","16.1","19.1","4.8","18.5","89.8","1987","8921","1.5","808","15.6","0.9","6.9","1.8","0.1","5.0","71.6","70.4","70.3","14605","21217","101600","2.33","11.5","41637","20589","17.7","38","2.8","1558.42","5.1","82.0","0","16.2","44.9","3760","38520","38321","-0.9","24.7","1898","0","3694","9521","4.9","0.0","0.0","0.0","0.0","2932","23.2"
"Clare County","MI","21.8","20.0","5.4","11.1","83.9","1739","5581","4.9","512","0.8","0.3","0.7","1.9","0.0","1.6","96.6","94.9","80.4","13215","23120","80000","2.29","4.7","32668","18148","26.5","20","1.0","564.32","3.9","87.1","1924","26.1","50.2","3196","30926","30652","-0.9","54.8","288","0","2461","8021","0.0","0.0","0.0","0.0","0.0","1926","22.9"
"Clinton County","MI","15.3","23.0","5.4","28.2","92.9","5142","14359","-7.4","1306","0.5","1.5","1.9","4.4","0.1","1.8","94.2","90.2","80.8","28534","30867","156300","2.63","13.1","60466","28449","11.1","345","2.9","566.41","4.6","88.1","6092","23.0","50.6","4812","75382","77297","2.5","133.1","507","5620","6318","9061","0.0","0.0","0.0","1.0","0.0","6314","28.1"
"Crawford County","MI","24.0","18.0","4.1","15.2","85.4","832","3269","4.0","302","0.7","0.5","0.8","1.8","0.0","1.3","96.7","95.2","82.1","5781","11092","96400","2.37","3.7","40295","21492","16.8","18","1.7","556.28","1.6","83.6","1525","21.2","49.6","1611","14074","13745","-2.3","25.3","196","0","2168","14942","0.0","0.0","0.0","0.0","0.0","1223","0.0"
"Delta County","MI","21.4","20.3","5.1","18.2","91.4","2015","11848","-0.5","1064","2.5","0.4","0.3","1.1","0.0","2.2","94.6","93.7","79.3","15885","20193","100200","2.29","10.2","42676","22471","16.4","47","1.2","1171.1","2.3","89.7","7125","18.0","50.4","4361","37069","36559","-1.4","31.7","464","0","4598","12298","0.0","0.0","0.0","0.0","0.0","3284","0.0"
"Dickinson County","MI","20.4","20.1","5.0","20.0","93.8","1435","12202","-4.5","883","0.7","0.5","0.5","1.4","0.1","1.3","96.9","95.8","81.2","11432","13995","85500","2.25","8.8","44136","24611","12.7","32","1.4","761.4","2.6","88.6","0","15.2","49.9","2815","26168","25957","-0.8","34.4","286","0","4173","15399","0.0","0.0","0.0","0.0","0.0","2614","0.0"
"Eaton County","MI","16.4","21.7","5.4","24.6","93.4","7000","38507","3.0","2034","0.5","2.0","7.0","5.3","0.0","2.4","88.1","83.6","72.6","43362","47062","138300","2.45","20.0","54115","26582","10.8","95","3.5","575.18","6.1","85.2","0","22.6","51.1","8128","107759","108579","0.8","187.3","1553","9142","13269","12383","0.0","1.4","3.4","0.0","0.0","8089","30.9"
"Emmet County","MI","19.7","20.6","4.8","31.8","93.8","3489","14583","7.6","1469","3.8","0.5","0.7","1.6","0.1","2.3","92.7","91.5","77.4","13545","21346","167700","2.39","17.9","50929","29718","10.9","69","2.2","467.49","3.2","86.4","2544","19.3","50.7","2872","32694","33204","1.6","69.9","1083","0","5806","17380","0.0","0.0","0.0","0.0","0.0","4688","24.4"
"Genesee County","MI","15.7","23.4","6.0","18.9","88.7","28250","114923","1.1","7745","0.6","1.1","20.6","3.2","0.0","2.5","75.2","72.6","70.3","165669","190901","91700","2.51","16.8","42089","22380","21.0","343","2.3","636.98","3.4","85.1","125794","25.5","51.8","29730","425790","412895","-3.0","668.5","5286","35548","48366","11142","0.7","1.6","13.2","0.9","0.0","33627","35.7"
"Gladwin County","MI","25.1","19.3","4.7","11.8","83.9","1600","3553","4.2","394","0.6","0.3","0.5","1.3","0.0","0.9","97.7","96.5","84.5","10895","17628","103300","2.33","3.9","37626","20368","21.4","41","1.6","501.78","4.9","89.4","1740","29.2","49.7","2636","25692","25411","-1.1","51.2","175","90","1401","5336","0.0","0.0","0.0","0.0","0.0","2319","0.0"
"Gogebic County","MI","22.9","16.0","3.9","18.3","91.7","841","4211","-1.7","404","2.7","0.5","4.5","1.2","0.0","1.6","90.7","89.7","75.5","7070","10739","66800","2.07","11.9","34252","20330","20.3","23","1.0","1101.85","4.0","86.3","801","19.2","45.6","1941","16427","15737","-4.2","14.9","556","0","1379","8543","0.0","0.0","0.0","0.0","0.0","1661","29.6"
"Grand Traverse County","MI","17.1","20.8","5.4","30.4","93.3","8953","42016","2.4","3305","1.2","0.7","1.3","2.7","0.1","1.7","94.9","92.7","75.4","34655","42327","168300","2.45","15.1","51766","27660","11.7","384","2.0","464.33","3.4","85.9","11607","20.3","50.6","7144","86986","90782","4.4","187.3","2377","4249","15700","18415","0.0","0.0","0.3","0.0","0.0","10504","24.5"
"Gratiot County","MI","16.4","20.5","5.2","14.0","87.7","2285","10517","-2.9","746","0.7","0.5","5.6","5.7","0.0","1.2","91.9","86.8","76.1","14787","16203","86600","2.45","12.3","40359","18836","19.1","17","1.4","568.46","4.1","81.9","3574","22.3","46.7","3063","42476","41665","-1.9","74.7","401","0","3163","7464","0.0","0.0","0.0","0.0","0.0","3047","25.7"
"Hillsdale County","MI","17.7","22.3","5.5","15.3","87.0","2806","10601","-1.9","780","0.5","0.4","0.7","2.1","0.0","1.3","97.1","95.2","80.0","17642","21652","103700","2.55","8.9","41759","20379","19.7","34","0.7","598.13","4.9","87.5","13307","24.1","50.1","3707","46688","45830","-1.8","78.1","313","2605","3233","6964","0.0","0.0","0.0","0.0","0.0","3465","25.3"
"Houghton County","MI","16.1","20.6","5.3","28.9","91.0","1863","8650","-0.7","876","0.7","3.2","0.9","1.4","0.0","1.5","93.7","92.5","69.6","14029","18621","88400","2.43","16.4","35430","19783","23.0","34","4.7","1009.1","7.0","83.0","0","14.7","45.8","2979","36628","36495","-0.4","36.3","464","0","3354","9599","0.0","0.0","0.0","0.0","0.0","2558","24.1"
"Huron County","MI","23.4","19.6","4.7","13.7","86.9","2267","10579","0.2","959","0.4","0.5","0.5","2.1","0.0","0.8","97.8","95.7","81.6","13907","21153","96100","2.31","7.5","40204","22120","15.8","47","1.7","835.71","3.3","90.7","6473","20.7","50.5","2670","33118","32065","-3.2","39.6","336","2536","3231","9727","0.0","0.0","0.0","0.0","0.0","2973","0.0"
"Ingham County","MI","11.9","20.4","5.7","36.5","91.1","18469","103894","2.5","6129","0.7","6.1","12.2","7.6","0.1","3.8","77.1","71.1","59.3","108823","122056","120500","2.41","28.8","45321","24754","21.9","315","8.5","556.12","11.8","75.7","0","19.8","51.5","16206","280895","284582","1.3","505.1","4460","44237","31561","11328","0.8","4.4","0.0","2.2","0.0","22700","31.3"
"Ionia County","MI","13.0","23.2","5.7","14.0","87.9","3184","10910","1.7","884","0.6","0.5","4.9","4.7","0.0","1.5","92.5","88.3","78.2","22152","24592","111000","2.67","12.9","47892","20206","15.8","53","1.4","571.3","3.7","84.7","11173","27.6","46.3","4782","63905","64294","0.6","111.9","374","1188","4466","6976","0.0","0.0","0.0","0.0","0.0","3731","31.9"
"Iosco County","MI","27.9","17.1","4.5","14.0","87.4","1532","6319","8.2","612","0.8","0.7","0.6","2.1","0.1","1.8","96.0","94.2","81.3","11172","20392","90300","2.26","7.5","36236","22047","19.0","49","2.4","549.1","2.7","87.2","1904","21.1","50.4","3474","25887","25420","-1.8","47.1","272","0","2705","10272","0.0","0.0","0.0","0.0","0.0","2631","30.3"
"Iron County","MI","28.2","16.5","4.2","18.4","89.2","732","2541","4.7","356","1.2","0.3","0.3","1.7","0.0","1.5","96.6","95.2","84.5","5289","9262","75100","2.13","6.8","34685","21499","14.2","20","1.8","1166.15","3.6","92.7","0","19.5","50.6","1476","11817","11387","-3.6","10.1","116","186","1013","8496","0.0","0.0","0.0","0.0","0.0","993","0.0"
"Isabella County","MI","11.0","17.4","4.7","25.3","90.1","3530","22174","-1.4","1399","3.8","1.9","2.7","3.7","0.0","2.7","88.9","86.2","58.7","24817","28674","119800","2.58","29.6","36372","19061","31.5","111","3.0","572.68","5.5","68.2","5287","17.7","51.4","3584","70311","70616","0.4","122.8","1177","0","7054","10577","0.0","2.0","0.0","0.0","0.0","4533","30.8"
"Jackson County","MI","16.0","22.1","5.5","18.8","89.1","8876","49019","1.1","2954","0.4","0.9","8.3","3.4","0.0","2.5","87.8","85.0","73.1","60100","69077","112800","2.52","15.8","46615","22613","17.0","89","1.7","701.67","3.5","82.7","27829","23.3","48.8","12517","160248","159741","-0.3","228.4","1853","0","16908","10393","0.0","0.0","2.8","1.1","0.0","11902","29.2"
"Kalamazoo County","MI","13.5","22.1","6.0","34.0","92.6","15771","103221","0.6","5507","0.5","2.6","11.4","4.7","0.1","3.3","82.1","78.5","64.7","100072","110316","136700","2.44","27.9","45775","25757","19.1","480","4.8","561.66","7.0","78.8","71458","20.0","51.0","15405","250331","258818","3.4","445.7","4146","12071","28088","11481","0.0","2.1","6.0","0.7","0.0","21093","31.7"
"Kalkaska County","MI","19.0","21.7","5.5","12.1","85.9","1210","3340","2.0","331","0.9","0.4","0.6","1.9","0.1","1.7","96.4","94.7","81.2","7035","12113","98800","2.4","3.1","40140","20258","16.3","21","1.0","559.87","1.7","87.6","0","27.5","49.2","1610","17153","17394","1.4","30.6","137","833","1441","8400","0.0","0.0","0.0","0.0","0.0","1414","41.6"
"Kent County","MI","12.2","25.1","7.0","31.7","89.4","43713","323594","0.8","15615","0.7","2.8","10.4","10.1","0.1","2.8","83.3","75.0","70.1","229373","248724","137500","2.61","24.4","51667","25889","15.5","1711","7.4","846.95","11.3","84.0","157382","21.1","50.8","34393","602622","629237","4.4","711.5","9251","130207","80580","13377","0.6","2.7","6.0","2.0","0.0","52369","29.5"
"Keweenaw County","MI","30.9","17.1","3.8","23.9","92.8","152","159","-3.6","63","0.2","0.0","0.2","1.0","0.0","1.1","98.5","97.7","85.9","1014","2474","101700","2.08","4.0","39038","24802","15.8","8","1.1","540.11","2.2","90.5","0","20.5","48.7","351","2156","2217","2.8","4.0","43","0","32","1465","0.0","0.0","0.0","0.0","0.0","156","0.0"
"Lake County","MI","26.2","16.9","3.5","8.4","80.3","636","1138","1.6","161","0.9","0.2","9.1","2.5","0.0","2.6","87.2","85.3","81.3","4096","14925","79700","2.72","2.2","29379","16202","27.9","54","0.9","567.37","2.1","88.1","0","25.2","49.2","1272","11539","11341","-1.7","20.3","77","0","533","4801","0.0","0.0","0.0","0.0","0.0","805","15.9"
"Lapeer County","MI","15.9","22.0","4.8","17.0","90.2","6300","17109","0.6","1574","0.5","0.5","1.2","4.5","0.0","1.3","96.4","92.3","83.1","32684","36204","137600","2.65","7.7","52939","23907","11.0","120","2.7","643.01","4.1","88.9","11425","32.8","49.3","6550","88319","88153","-0.2","137.4","725","1700","7999","8707","0.0","0.0","0.0","1.2","0.0","7591","0.0"
"Leelanau County","MI","27.7","17.4","3.8","39.2","94.2","2749","4366","9.7","737","3.6","0.6","0.5","4.1","0.0","1.7","93.6","90.6","85.1","9103","15221","235600","2.34","9.1","55018","31462","11.2","113","3.1","347.17","5.3","90.9","0","22.2","50.8","2225","21708","21915","1.0","62.5","406","171","1282","5857","0.0","0.0","0.0","0.0","0.0","3437","27.1"
"Lenawee County","MI","16.8","21.9","5.6","19.3","89.1","5890","22990","0.6","1812","0.6","0.5","2.8","7.7","0.0","1.9","94.1","87.2","77.8","37754","43454","116900","2.5","12.5","47766","22395","14.1","92","2.0","749.56","4.8","84.3","22308","26.6","49.4","7598","99892","99047","-0.8","133.3","941","4519","9446","9336","0.0","0.0","0.0","0.0","0.0","7725","27.3"
"Livingston County","MI","14.7","23.1","5.0","32.9","94.4","14183","47463","0.9","4159","0.4","0.9","0.6","2.2","0.0","1.3","96.7","94.8","85.1","67691","74217","183100","2.68","9.1","72359","32129","6.2","736","3.0","565.25","3.8","89.7","27157","31.4","50.0","12150","180967","185596","2.6","320.2","1809","12932","20597","11260","0.4","1.5","0.3","0.0","0.0","17856","29.1"
"Luce County","MI","20.1","16.5","4.2","12.7","85.8","335","1431","2.8","162","5.0","0.2","11.5","1.4","0.0","3.2","79.9","78.9","75.1","2427","4338","79400","2.25","5.7","39469","18768","18.6","13","2.0","899.08","3.7","85.4","0","14.2","41.5","597","6631","6426","-3.1","7.4","73","0","740","11044","9.0","0.0","0.0","0.0","0.0","444","11.0"
"Mackinac County","MI","25.5","16.8","3.8","18.5","88.3","916","1995","0.9","449","17.4","0.4","1.6","1.6","0.0","5.2","75.4","74.2","76.8","5000","11013","119300","2.17","10.0","38704","22622","15.3","27","2.0","1021.57","4.4","87.6","0","19.6","48.6","1265","11113","11042","-0.6","10.9","564","0","1558","14289","0.0","0.0","0.0","0.0","0.0","1202","21.0"
"Macomb County","MI","15.6","21.9","5.4","22.5","88.2","59636","281325","3.4","18338","0.3","3.6","11.0","2.5","0.0","2.2","82.9","80.8","75.5","332818","361273","123100","2.52","17.7","53451","26748","12.5","1850","10.3","479.22","13.6","88.1","235884","26.8","51.4","55720","840978","860112","2.3","1754.9","11208","56111","100076","12074","0.5","3.3","4.7","1.2","0.0","66632","27.0"
"Manistee County","MI","23.4","17.8","3.8","19.1","88.8","1688","5402","1.2","560","2.2","0.4","3.3","3.0","0.1","2.0","92.0","89.4","79.1","10571","15639","109900","2.2","8.3","41551","22702","16.9","47","1.4","542.15","4.1","85.9","3912","19.5","48.3","2825","24733","24420","-1.3","45.6","267","0","2253","9096","1.3","0.0","0.0","0.0","0.0","2239","27.5"
"Marquette County","MI","16.6","18.1","4.9","29.1","93.5","3390","21508","1.5","1640","1.9","0.6","1.7","1.5","0.0","2.1","93.7","92.5","70.2","26436","34495","126600","2.38","19.8","45622","23789","15.7","142","1.3","1808.4","3.6","84.0","3104","18.0","49.6","6516","67077","67676","0.9","37.1","1002","1624","7298","11200","0.0","0.0","0.0","0.0","0.0","5273","0.0"
"Mason County","MI","21.2","20.7","5.3","19.8","89.5","2002","9112","4.0","743","1.1","0.6","0.9","4.6","0.0","1.7","95.7","91.6","74.1","12470","17287","117000","2.26","13.1","41136","23183","16.2","46","1.8","495.07","4.4","84.7","5183","17.9","50.4","2607","28705","28824","0.4","58.0","396","1486","3304","11540","0.0","0.0","0.0","0.0","0.0","3011","25.7"
"Mecosta County","MI","16.9","18.9","4.8","21.6","89.8","2215","9299","-6.5","751","0.7","0.9","3.0","2.1","0.0","2.2","93.2","91.5","72.9","15536","21101","112200","2.55","11.1","39470","19336","22.9","79","2.1","555.07","4.1","80.3","6681","22.5","49.9","3475","42798","43186","0.9","77.1","440","0","4749","11352","0.0","0.0","0.0","0.0","0.0","3150","0.0"
"Menominee County","MI","21.6","19.7","4.7","14.4","90.2","1339","5318","4.8","458","2.8","0.4","0.6","1.7","0.0","1.5","94.7","93.4","80.8","10787","14154","95300","2.18","9.1","41739","22331","13.6","47","1.0","1044.08","2.7","89.3","4184","20.2","49.4","2598","24029","23714","-1.3","23.0","172","0","1668","6914","0.0","0.0","0.0","0.0","0.0","1946","0.0"
"Midland County","MI","16.4","21.9","5.2","32.3","92.2","4875","36377","-1.0","1747","0.5","2.4","1.4","2.5","0.1","1.4","94.2","92.0","75.4","33717","36274","128600","2.45","14.7","53076","29536","13.4","262","3.8","516.25","4.9","85.4","28212","19.9","50.8","5991","83629","83427","-0.2","162.0","1080","0","8692","10524","0.0","2.3","0.0","0.0","0.0","6488","30.5"
"Missaukee County","MI","19.1","23.2","6.1","13.0","86.0","1095","2101","11.0","289","0.8","0.5","0.5","2.6","0.0","1.6","96.6","94.6","80.8","5891","9068","99400","2.5","3.0","41061","20305","15.1","19","1.6","564.73","3.3","89.1","0","23.1","49.2","1237","14849","15037","1.3","26.3","94","0","918","6143","0.0","0.0","0.0","0.0","0.0","1603","17.5"
"Monroe County","MI","15.7","22.4","5.4","18.0","89.3","8193","35969","4.2","2303","0.4","0.7","2.4","3.4","0.0","1.7","94.8","91.8","79.2","58702","63502","139100","2.55","13.1","53972","25939","12.3","239","2.0","549.39","3.7","89.4","35029","24.7","50.6","11417","152021","149824","-1.4","276.7","1715","0","14653","9555","0.7","1.3","1.7","0.7","0.0","10419","28.9"
"Montcalm County","MI","16.0","22.9","5.6","13.4","87.4","3612","11850","0.6","1004","0.6","0.5","2.4","3.4","0.1","1.5","95.0","92.1","79.2","23400","28088","95000","2.59","7.3","40451","18969","18.6","67","1.3","705.4","3.4","88.0","3889","30.2","48.5","4911","63342","62893","-0.7","89.8","458","1248","5631","8962","0.0","0.0","0.0","0.0","0.0","4483","27.8"
"Montmorency County","MI","29.4","15.2","3.6","9.9","84.9","584","1597","9.8","204","0.6","0.2","0.4","1.3","0.0","1.4","97.4","96.2","85.8","4128","9548","93700","2.29","1.7","35261","19661","18.1","0","1.0","546.66","2.4","89.5","0","26.1","49.0","1323","9765","9300","-4.8","17.9","78","0","701","6862","0.0","0.0","0.0","0.0","0.0","854","30.1"
"Muskegon County","MI","15.1","23.8","6.1","17.2","88.0","9498","50724","0.3","3134","1.0","0.7","14.4","5.3","0.0","2.7","81.1","76.8","74.4","65008","73310","100900","2.54","14.3","40979","20621","19.9","181","1.9","499.25","4.2","83.4","36758","21.0","50.3","13255","172188","172344","0.1","344.9","2209","0","16567","9507","0.0","0.7","5.0","1.2","0.0","11233","27.3"
"Newaygo County","MI","17.9","23.2","5.7","12.9","85.9","2739","9561","4.8","785","0.8","0.4","1.3","5.9","0.0","1.5","95.9","90.6","84.1","18156","24910","104100","2.61","4.8","42571","20623","18.6","46","2.3","813.2","5.2","89.0","5608","28.7","49.7","4144","48460","47900","-1.2","59.6","321","716","3552","7213","0.0","0.0","0.0","0.0","0.0","4235","30.1"
"Oakland County","MI","15.1","22.1","5.5","43.1","92.7","108991","644865","3.0","38381","0.3","6.5","14.5","3.8","0.0","2.1","76.5","73.3","71.5","486332","533047","170500","2.47","22.3","65594","36458","10.3","2458","11.4","867.66","14.0","86.0","258851","26.1","51.4","67718","1202362","1237868","3.0","1385.7","22848","298257","181836","15131","0.5","4.7","8.3","1.0","0.0","128040","28.6"
"Oceana County","MI","19.1","24.0","6.2","15.0","84.1","1670","4198","-1.1","493","1.5","0.3","0.8","14.4","0.1","1.7","95.6","82.4","81.7","9537","16007","106100","2.68","3.7","40023","18986","19.9","4","6.0","512.07","11.5","89.0","3641","23.4","49.6","2394","26570","26221","-1.3","51.9","322","0","1715","6164","0.0","0.0","0.0","0.0","0.0","2255","20.6"
"Ogemaw County","MI","24.3","18.8","4.7","11.3","85.1","1284","5740","5.2","566","0.9","0.4","0.4","2.0","0.0","1.5","96.8","95.2","82.8","8998","16037","89500","2.36","3.9","34619","19634","21.5","34","1.3","563.49","2.2","86.1","1516","23.1","50.4","2343","21699","21039","-3.0","38.5","311","0","3647","17118","0.0","0.0","0.0","0.0","0.0","1897","0.0"
"Ontonagon County","MI","32.1","13.3","2.4","15.3","88.6","378","982","-4.9","170","1.2","0.3","0.3","1.1","0.0","1.7","96.5","95.6","85.8","3269","5642","72600","1.98","5.4","34620","21585","13.8","7","1.7","1311.23","5.0","95.0","0","24.0","49.0","1016","6780","6172","-9.0","5.2","67","166","609","8767","0.0","0.0","0.0","0.0","0.0","623","27.6"
"Osceola County","MI","19.1","23.5","5.7","12.6","86.9","1347","6078","-2.1","431","0.6","0.3","0.8","1.6","0.0","1.7","96.5","95.2","78.2","8987","13569","90500","2.55","5.6","37788","18099","21.7","23","0.7","566.39","4.5","86.9","9679","25.0","49.4","2282","23528","23169","-1.5","41.5","192","576","1516","6562","0.0","0.0","0.0","0.0","0.0","1841","29.5"
"Oscoda County","MI","26.1","18.8","4.5","10.4","82.6","631","1279","0.2","190","0.9","0.1","0.3","1.4","0.0","1.5","97.2","96.1","85.3","3781","9095","83000","2.26","2.2","33239","18057","20.2","13","1.1","565.73","7.1","88.2","0","21.2","48.7","1095","8640","8371","-3.1","15.3","90","0","571","6379","0.0","0.0","0.0","0.0","0.0","1097","17.4"
"Otsego County","MI","19.6","21.3","5.4","19.8","91.0","1930","8298","6.2","753","0.8","0.6","0.6","1.5","0.0","1.7","96.2","94.9","79.4","9818","14784","116600","2.42","6.9","47584","24312","13.5","17","2.4","514.97","2.2","84.1","1580","20.5","50.5","2179","24164","24158","0.0","46.9","588","2907","4997","20761","0.0","0.0","0.0","0.0","0.0","3107","20.5"
"Ottawa County","MI","13.2","24.9","6.3","30.0","90.9","18114","95831","1.6","5774","0.6","2.9","1.8","9.4","0.0","1.7","92.8","84.5","78.1","94666","104372","153200","2.73","18.4","56453","25371","11.2","1307","5.8","563.47","9.8","85.4","92108","20.2","50.7","14254","263801","276292","4.7","468.2","2771","21206","23678","9149","0.6","1.0","0.0","1.8","0.2","21445","25.8"
"Presque Isle County","MI","28.7","16.5","3.6","16.3","86.8","921","2212","1.1","336","0.9","0.4","0.6","1.2","0.0","1.0","97.0","96.1","87.5","6253","10407","95000","2.08","3.4","39652","22788","12.9","18","1.5","658.72","3.6","90.7","0","23.8","50.2","1503","13376","13004","-2.8","20.3","91","82","1013","7339","0.0","0.0","0.0","0.0","0.0","1229","17.3"
