"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Macon County","GA","18.1","18.5","5.0","8.8","73.6","765","0.6","1.4","60.7","4.5","0.1","1.2","35.9","32.8","64.0","4696","6106","63800","2.4","32161","17883","2.1","400.64","7.7","87.1","478493","26.3","45.3","643","12082","14740","36.8","-1","43548","1029","430","516","591","398","119","854"
"Macon County","IL","20.4","22.2","6.2","22.1","90.4","5091","0.3","1.2","17.8","2.4","0.1","3.1","77.7","75.8","68.4","43912","50305","98400","2.32","50480","29644","2.0","580.69","3.5","84.3","13379268","17.9","52.1","7062","103998","110768","190.8","189787","1494152","7229","2882","3310","1608","5170","709","5918"
"Macon County","MO","22.8","23.0","5.8","16.3","88.2","1108","0.4","0.6","2.5","1.8","0.1","1.9","94.6","93.1","74.6","5845","7686","97200","2.55","42746","22136","1.0","801.23","3.2","92.6","-1","21.6","50.6","1214","15209","15566","19.4","18372","146490","1406","403","693","0","1286","149","1127"
"Macon County","NC","28.9","18.4","4.8","23.8","89.3","3313","0.9","1.0","1.7","7.4","0.1","1.2","95.1","88.6","72.9","15921","25716","165600","2.16","45507","28936","5.4","515.56","7.1","85.6","181176","21.6","51.5","2921","37014","33922","65.8","63264","432474","4247","1330","2106","214","3928","267","3736"
"Macon County","TN","16.1","24.5","7.0","10.3","80.3","1712","0.7","0.8","1.2","5.1","0.1","1.4","95.8","91.7","74.4","9170","10565","115000","2.56","37430","22527","2.4","307.14","3.9","85.7","214186","32.5","51.1","1138","25216","22248","72.4","11974","177374","2072","623","1137","64","1966","124","1880"
"Macoupin County","IL","20.4","21.1","5.2","18.4","91.3","2475","0.4","0.4","1.0","1.3","0.0","1.1","97.1","96.0","76.7","18875","21800","100600","2.36","55159","28809","0.9","862.91","1.6","88.9","-1","28.0","50.6","3387","44967","47765","55.4","-1","392007","3090","806","1801","81","2943","362","2550"
"Madera County","CA","14.3","27.4","7.3","14.6","71.9","7504","4.4","2.6","4.2","58.8","0.3","2.6","85.9","33.2","64.1","44881","51438","251200","3.28","57585","22853","20.2","2137.07","45.3","87.9","1441125","28.3","51.8","6317","156255","150865","70.6","150065","1012856","8094","3202","3888","3203","4524","618","7044"
"Madison County","AL","15.3","21.6","5.9","42.8","91.7","25693","0.8","2.7","24.9","5.2","0.1","2.7","68.9","64.5","66.8","148189","166516","186100","2.38","65449","36620","5.5","801.59","6.9","83.2","7992217","21.5","51.1","32813","388153","334811","417.7","728712","4958015","28357","10709","14385","6614","20536","3129","23728"
"Madison County","AR","19.4","23.2","6.3","14.2","80.6","1283","1.7","0.8","0.9","5.9","0.6","1.9","94.1","89.3","78.0","6279","7619","120400","2.57","41682","24356","3.5","834.26","4.6","90.9","-1","33.9","49.9","857","16521","15717","18.8","7445","130207","1131","347","565","29","1055","143","940"
"Madison County","FL","21.1","18.4","4.8","14.0","81.0","1090","0.7","0.5","37.8","5.7","0.0","1.5","59.4","54.6","73.6","6778","8710","89100","2.41","37037","19510","4.3","695.95","7.3","86.5","180969","27.1","46.9","1175","17968","19224","27.6","13927","171200","1044","319","540","272","714","127","861"
"Madison County","GA","17.4","22.9","5.9","18.5","83.2","2348","0.4","2.2","9.6","6.1","0.0","1.8","86.0","80.7","74.7","10744","12031","131300","2.7","52500","24511","3.0","282.31","6.5","89.3","21384","25.3","50.6","1717","30120","28120","99.6","-1","135690","2104","630","1349","288","1789","190","1864"
"Madison County","IA","17.6","24.4","5.6","24.5","94.2","1418","0.4","0.9","0.6","2.2","0.0","1.2","96.8","94.9","78.4","6462","7198","177500","2.45","66316","35470","1.2","561.01","3.2","90.5","-1","28.0","49.8","856","16548","15679","27.9","-1","92510","1531","467","713","0","1448","124","1313"
"Madison County","ID","7.1","26.8","9.7","36.4","95.9","3199","0.5","1.5","0.8","7.8","0.3","1.9","95.1","88.2","44.6","11016","15366","219100","3.51","39160","16585","4.6","469.21","11.0","64.4","184638","14.2","49.3","873","52913","37536","80.0","32324","370688","2759","681","1154","90","2538","108","2433"
"Madison County","IL","17.6","21.7","5.7","26.8","92.5","14601","0.3","1.0","8.8","3.4","0.1","2.1","87.6","84.6","71.4","107659","120024","135600","2.41","60738","32427","2.4","715.58","3.9","86.0","19140467","25.2","51.3","20286","265859","269282","376.3","431161","3230218","18813","6627","9196","1812","16295","2037","15471"
"Madison County","IN","18.7","21.4","5.5","18.4","88.4","6743","0.4","0.6","8.6","4.4","0.1","2.0","88.3","84.6","69.6","51003","59164","97300","2.42","49522","25557","1.8","451.92","3.8","84.3","1391141","26.2","50.0","9138","130129","131636","291.3","165536","1378713","8151","3093","3916","748","7094","748","6919"
"Madison County","KY","14.2","20.6","5.6","30.8","87.5","5889","0.3","1.1","4.6","2.7","0.1","2.2","91.7","89.5","59.1","33359","37294","159300","2.52","50060","25837","2.9","437.29","4.2","79.6","-1","23.7","51.5","5492","92701","82916","189.6","164513","1080697","7252","2465","3763","394","6548","882","5839"
"Madison County","MO","19.6","23.0","5.8","15.6","84.4","711","0.5","1.1","0.6","2.3","0.0","1.4","96.4","94.6","71.8","5044","5985","106100","2.38","43636","24418","1.2","494.39","1.8","84.3","-1","26.7","51.0","1094","12626","12226","24.7","-1","138030","860","176","575","0","809","141","670"
"Madison County","MS","13.9","24.7","6.2","48.4","91.7","11866","0.3","2.8","38.3","3.1","0.1","1.1","57.5","55.1","71.7","39635","44469","219700","2.59","71824","38901","4.5","714.51","6.4","88.3","4567972","22.4","52.2","4389","109145","95203","133.2","230133","1616887","11227","3592","6225","2650","8046","1234","9158"
"Madison County","MT","29.5","15.3","3.5","31.2","95.4","1132","0.7","0.6","0.4","4.4","0.0","1.9","96.4","92.5","77.0","3570","7004","276500","2.24","54107","35719","3.7","3587.48","4.2","83.5","-1","20.9","47.4","910","8623","7691","2.1","15793","59461","1438","400","724","25","1368","173","1133"
"Madison County","NC","23.1","17.5","4.7","28.5","87.0","2037","0.5","0.5","1.5","2.4","0.0","1.4","96.1","93.9","74.1","8403","11136","194500","2.42","45873","25956","1.9","449.57","2.3","88.6","-1","28.7","50.7","1520","21193","20764","46.2","12206","111500","1741","578","980","65","1645","186","1482"
"Madison County","NE","16.2","25.5","7.3","23.0","90.4","2620","2.0","1.8","1.7","15.8","0.1","1.7","92.6","78.7","65.6","14205","15443","146400","2.39","53188","28179","7.1","572.74","13.9","83.5","-1","14.4","50.3","1939","35585","34876","60.9","64634","815241","3752","989","1949","195","3367","290","3202"
"Madison County","NY","18.9","19.0","4.8","26.2","92.0","4350","0.7","1.0","2.0","2.3","0.0","1.6","94.6","92.9","77.4","25877","32456","136800","2.55","61633","30469","2.6","654.84","4.3","89.4","885470","24.0","50.6","4506","68016","73442","112.2","86433","745482","5105","1995","2537","146","4732","652","4211"
"Madison County","OH","15.9","20.3","5.0","17.5","87.0","2748","0.4","1.4","6.5","2.3","0.0","1.7","90.0","88.1","71.2","15013","16204","166500","2.58","68022","29164","1.5","465.88","3.8","83.0","1157917","26.1","45.6","2610","43824","43435","93.2","36022","1116123","2967","895","1714","57","2793","435","2371"
"Madison County","TN","17.6","22.3","6.2","25.6","88.9","6702","0.4","1.2","37.7","4.1","0.0","1.7","58.9","55.6","62.3","37944","43498","131500","2.47","48161","26722","3.0","557.12","4.7","89.4","4374740","19.0","52.6","5645","98823","98294","176.4","222481","1902646","7960","2451","4579","1932","5557","1094","6243"
"Madison County","TX","15.8","21.2","5.6","14.7","80.8","1012","1.2","0.8","20.1","24.2","0.1","1.8","76.1","54.1","74.2","4269","5353","113100","2.59","52664","20748","10.6","466.07","19.4","87.9","6804","25.0","42.4","889","13455","13664","29.3","23026","244752","1025","287","625","234","764","126","834"
"Madison County","VA","22.9","20.1","5.1","23.4","86.1","1265","0.3","0.6","9.3","3.2","0.0","2.9","86.9","84.3","74.5","4949","6140","257900","2.62","57895","30777","3.0","320.68","3.6","89.2","-1","28.9","51.6","822","13837","13308","41.5","9416","186364","1496","514","884","95","1356","213","1207"
"Madison Parish","LA","14.9","23.8","6.9","12.8","73.9","667","0.3","0.3","62.6","2.2","-1.0","1.2","35.5","33.9","53.2","3832","5237","78100","2.43","30350","16671","0.8","624.44","3.1","87.6","-1","15.0","50.4","505","10017","12093","19.4","-1","158853","942","416","410","465","433","120","782"
"Magoffin County","KY","17.8","22.3","5.7","9.5","69.7","606","0.3","0.2","0.2","1.2","-1.0","0.8","98.4","97.4","72.5","5020","6134","66800","2.46","28147","18243","0.1","308.44","0.2","91.5","-1","37.0","49.9","304","11637","13333","43.2","6355","61128","771","374","346","0","740","0","711"
"Mahaska County","IA","18.5","24.0","6.7","22.0","92.2","1448","0.5","1.7","1.8","2.4","0.0","1.2","94.7","92.7","69.0","8927","9898","115300","2.41","54825","28174","1.9","570.86","2.6","85.0","969884","18.6","49.2","1107","22190","22381","39.2","-1","242524","1839","499","1030","0","1703","161","1526"
"Mahnomen County","MN","17.3","31.8","8.6","13.2","86.9","319","43.7","0.1","0.7","4.3","0.0","9.4","46.2","44.9","68.0","1946","2783","104800","2.8","44688","21279","0.7","557.88","8.2","89.3","-1","19.0","49.4","320","5411","5413","9.7","-1","26787","323","66","203","108","184","0","279"
"Mahoning County","OH","21.4","19.9","5.3","24.2","90.9","16154","0.3","0.9","16.1","6.5","0.1","2.4","80.3","75.5","68.7","98472","111236","105400","2.27","46042","28378","2.3","411.62","5.9","87.6","1978661","22.2","51.0","15032","228614","238823","580.2","397194","3104302","20664","7180","11395","3277","16753","2105","17544"
"Major County","OK","20.5","25.8","6.7","20.0","88.6","699","3.1","0.8","1.0","10.1","0.1","2.9","92.1","84.0","79.4","3123","3692","101800","2.43","54332","28609","6.0","954.99","6.7","89.2","-1","20.8","51.2","429","7782","7527","7.9","-1","93708","912","182","515","75","804","138","667"
"Malheur County","OR","16.8","25.9","6.9","13.7","81.1","1382","2.0","1.5","1.7","34.6","0.2","2.6","91.9","60.1","58.3","10062","11957","135900","2.65","43313","18974","9.5","9887.53","25.3","82.0","-1","18.5","45.6","1894","31571","31313","3.2","50776","534507","2088","583","1103","281","1674","260","1667"
"Manassas Park city","VA","8.5","25.6","6.5","27.9","82.7","-1","0.1","11.1","15.3","39.7","0.0","3.9","62.3","33.1","65.9","4641","-1","308000","3.66","88046","34326","36.1","2.53","48.1","83.1","29569","40.5","47.7","916","17219","14273","5633.1","5558","124707","1572","407","1072","844","659","163","1379"
"Manassas city","VA","9.7","26.9","8.4","29.6","82.7","-1","0.8","5.2","13.6","36.6","0.2","5.2","66.1","40.8","66.1","12898","-1","324600","3.19","81493","33082","26.2","9.88","40.4","85.5","1365684","36.5","49.8","2316","42772","37821","3827.8","91401","895267","4123","1397","2254","1605","2276","450","3413"
"Manatee County","FL","28.1","18.0","4.6","29.8","89.7","34301","0.5","2.3","9.3","16.9","0.1","1.9","86.0","70.6","72.9","145356","198819","238500","2.61","59009","33853","12.6","742.93","17.7","84.4","2338019","26.2","51.7","32335","399710","322833","434.5","532856","4191101","29957","11104","14680","6555","22087","3250","24882"
"Manistee County","MI","26.3","17.2","4.3","20.3","89.9","1686","2.3","0.4","3.4","3.5","0.1","2.3","91.6","88.6","83.4","9426","15910","125400","2.44","50055","26668","1.7","542.15","3.8","88.2","419526","20.9","48.4","2247","25032","24733","45.6","155408","231887","2074","569","1064","89","1870","266","1714"
"Manitowoc County","WI","21.1","20.4","5.0","20.2","92.0","3913","0.8","2.9","1.2","4.4","0.1","1.5","93.6","89.8","75.4","34563","37657","130100","2.26","56612","30130","2.9","589.08","5.5","92.2","3138313","19.3","50.0","5272","81359","81442","138.3","87691","848633","5397","1309","3257","190","4980","659","4311"
"Marathon County","WI","18.2","22.6","5.8","25.4","91.8","7841","0.6","6.1","0.9","3.0","0.1","1.6","90.8","88.2","72.2","55466","59940","156300","2.41","62633","33189","4.0","1544.98","8.2","88.7","4306029","19.2","49.8","8589","138013","134063","86.8","180662","2572407","10129","2769","5341","510","9142","951","8312"
"Marengo County","AL","19.9","22.5","6.2","16.1","83.8","1087","0.3","0.3","51.6","2.8","0.2","1.0","46.6","44.4","71.5","7361","10397","84400","2.59","33241","25635","0.4","976.88","0.6","92.1","557015","24.4","53.1","946","19323","21027","21.5","20262","199742","1414","447","758","520","771","169","1078"
"Maricopa County","AZ","15.5","23.5","6.2","32.7","87.7","336089","2.8","4.6","6.4","31.4","0.3","3.1","82.8","54.5","62.2","1552096","1789190","260200","2.75","64468","33279","14.8","9200.14","27.0","83.1","34583412","26.4","50.6","253833","4420568","3817117","414.9","9105877","57296663","324146","115146","163095","83284","227870","29940","278278"
"Maries County","MO","22.0","20.2","4.6","15.8","86.5","595","0.8","0.4","0.7","1.5","0.0","1.7","96.3","95.0","74.9","3762","4611","133200","2.31","47569","26226","1.6","526.98","5.0","88.2","-1","33.4","49.9","908","8432","9176","17.4","1457","50089","547","165","285","0","532","115","351"
"Marin County","CA","23.0","19.8","4.5","59.5","93.3","38207","1.0","6.6","2.8","16.3","0.3","4.0","85.3","71.1","63.7","105432","113344","995800","2.4","115246","72466","18.1","520.31","21.9","86.4","-1","32.6","51.1","10516","262321","252409","485.1","729652","5087526","39815","15500","19795","5813","32232","3304","34571"
"Marinette County","WI","24.5","18.9","4.7","15.9","91.1","2236","0.8","0.5","0.7","2.0","0.0","1.4","96.6","95.0","74.7","18473","30983","123800","2.14","50330","28282","1.4","1399.35","2.8","88.9","1889633","20.5","49.7","3694","41872","41749","29.8","61142","532480","3066","752","1820","76","2858","469","2378"
"Marion County","AL","21.5","20.8","5.3","12.8","79.6","1806","0.4","0.3","3.9","2.7","0.1","1.3","94.0","91.7","75.1","11997","14806","92800","2.45","35930","21311","1.2","742.29","3.1","91.8","686580","24.4","50.8","1385","29341","30776","41.5","25432","229040","2283","742","1356","105","2114","319","1891"
"Marion County","AR","29.1","18.2","4.7","17.1","86.5","1150","1.1","0.6","0.6","2.4","0.1","2.1","95.5","93.6","78.9","6782","9604","120700","2.4","36719","21395","2.0","597.01","1.9","85.0","244842","21.6","51.0","1820","16826","16653","27.9","8462","94779","1365","507","584","47","1280","128","1161"
"Marion County","FL","29.2","18.5","4.9","20.1","87.6","27086","0.5","1.7","13.5","14.1","0.1","2.0","82.1","69.6","75.0","139172","173190","139900","2.47","45371","25839","7.6","1584.55","12.3","86.3","1471198","25.7","52.1","36289","375908","331298","209.1","375178","4263626","25658","9940","12862","6153","18671","2854","21636"
"Marion County","GA","20.9","20.6","4.9","13.4","77.8","447","1.1","0.9","30.9","7.7","0.7","1.9","64.4","59.1","78.4","3408","4239","90000","2.45","44643","22541","3.2","366.0","9.8","90.7","-1","36.4","50.4","964","7498","8742","23.9","1285","35332","274","98","160","112","147","72","186"
"Marion County","IA","18.4","23.5","5.7","28.8","93.3","2250","0.2","1.4","0.9","2.0","0.0","1.3","96.1","94.4","70.8","13365","14374","157300","2.35","61038","30644","1.8","554.53","3.0","81.4","2031627","19.3","50.1","1951","33414","33309","60.1","30752","363824","2604","766","1307","50","2354","316","2062"
"Marion County","IL","19.8","23.2","6.4","15.2","89.0","2076","0.4","0.6","4.3","2.1","0.0","2.0","92.7","90.9","73.6","15946","18280","77900","2.32","47519","25563","1.2","572.36","1.7","86.3","710584","19.8","51.1","2688","37729","39437","68.9","38162","353692","2903","814","1624","128","2587","226","2461"
"Marion County","IN","12.9","24.6","7.2","30.9","86.1","65885","0.4","3.8","29.1","10.9","0.1","3.0","63.5","54.1","53.9","372358","426024","136700","2.51","48316","28566","9.5","396.3","13.6","85.5","28049424","23.7","51.8","47766","977203","903393","2279.6","2645492","14421675","74873","29976","37202","20154","51474","6968","63886"
"Marion County","KS","23.8","21.1","4.8","25.0","91.6","961","0.8","0.5","1.1","4.1","0.1","2.1","95.4","92.0","78.5","4846","6008","90800","2.3","52123","26577","1.0","944.29","2.7","90.2","-1","21.3","50.3","777","11823","12660","13.4","-1","79191","966","267","528","25","900","34","893"
"Marion County","KY","16.9","24.1","6.4","12.6","81.5","1219","0.2","0.8","7.0","2.7","0.0","1.9","90.1","87.7","73.4","7405","8372","105400","2.48","40107","22241","1.3","343.01","2.8","86.0","895036","19.2","50.4","1061","19581","19820","57.8","-1","171021","1246","305","737","65","1077","159","936"
"Marion County","MO","18.3","23.1","6.4","22.4","88.0","1716","0.3","0.7","5.0","1.9","0.1","2.5","91.5","90.0","65.4","11565","13109","123400","2.34","48784","25069","0.8","436.92","1.2","85.0","1488489","18.9","51.4","2032","28525","28781","65.9","46963","508521","2385","599","1231","80","2177","183","1986"
"Marion County","MS","19.3","22.8","5.7","12.3","81.5","1957","0.3","0.4","31.6","1.8","0.1","1.2","66.5","65.1","82.3","9483","12138","89000","2.56","32090","19545","1.1","542.38","2.9","91.8","75132","37.3","51.4","1172","24441","27088","49.9","22435","280067","2471","1013","1293","660","1707","339","1960"
"Marion County","OH","18.2","21.0","5.8","12.5","87.9","2947","0.3","0.6","6.5","2.8","0.1","2.1","90.4","88.1","66.4","24737","27880","100800","2.41","47498","24484","1.7","403.76","4.8","83.6","3681681","22.8","47.0","4819","65359","66501","164.7","86931","745329","4074","1301","2219","156","3701","458","3316"
"Marion County","OR","16.2","24.3","6.5","23.5","85.2","18162","2.6","2.5","1.6","27.2","1.0","3.7","88.6","64.7","60.2","118038","128622","247100","2.79","59625","27338","12.6","1182.33","25.4","84.8","2540329","24.2","50.2","20251","345920","315335","266.7","-1","3862230","22621","7676","11071","3581","17898","1932","19003"
"Marion County","SC","20.7","22.5","5.8","13.5","78.9","1736","0.7","0.7","56.8","2.9","0.0","1.4","40.3","38.4","66.0","11600","15081","76700","2.69","32063","20160","2.2","489.23","3.6","92.1","214095","30.8","54.2","1709","29183","33062","67.6","31960","239046","1933","584","1212","793","1074","266","1582"
"Marion County","TN","20.3","21.0","5.7","12.8","81.5","1746","0.5","0.7","4.1","2.0","0.0","1.6","93.1","91.4","74.9","11477","13600","125700","2.46","49432","25467","1.0","498.16","1.1","93.7","-1","29.4","51.0","1860","28837","28237","56.7","-1","336227","2185","617","1110","86","1959","235","1784"
